Regressierte Tests bei 10.0% Tolleranz : 
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testSimpleRules Score: 0.011 Bais Test Score: 0.005
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testSequence1 Score: 0.018 Bais Test Score: 0.016
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testReferences3 Score: 0.063 Bais Test Score: 0.053
net.ssehub.easy.instantiation.core.model.artifactmodel.XmlFileArtifactTest.testHeavyDeletion Score: 0.073 Bais Test Score: 0.0545
net.ssehub.easy.instantiation.core.model.artifactmodel.XmlFileArtifactTest.objectRelationTest Score: 0.078 Bais Test Score: 0.0595
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testWhileLoop1 Score: 0.018 Bais Test Score: 0.0155
net.ssehub.easy.instantiation.java.ExecutionTests.testDeleteWithCalls Score: 0.184 Bais Test Score: 0.16449999999999998
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testJoin2 Score: 0.106 Bais Test Score: 0.077
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testJoin4 Score: 0.101 Bais Test Score: 0.089
testRemoval Score: 7.5E-4 Bais Test Score: 6.666666666666666E-4
testFail4 Score: 0.0175 Bais Test Score: 0.015333333333333332
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testBoolean2 Score: 0.047 Bais Test Score: 0.0365
test.de.uni_hildesheim.sse.vil.buildlang.ExecutionTests.testImplicitVars Score: 0.12 Bais Test Score: 0.07200000000000001
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testFail2 Score: 0.012 Bais Test Score: 0.0095
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testFail1 Score: 0.036 Bais Test Score: 0.0325
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testQm7o1 Score: 0.047 Bais Test Score: 0.04
de.uni_hildesheim.sse.vil.rt.tests.ExecutionRtTests.testStartup1 Score: 0.015 Bais Test Score: 0.0135
de.uni_hildesheim.sse.vil.rt.tests.BasicRtTests.testTacticFail1 Score: 0.02 Bais Test Score: 0.017
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testContent6 Score: 0.013 Bais Test Score: 0.009000000000000001
test.de.uni_hildesheim.sse.vil.templatelang.ExecutionTests.testContent4 Score: 0.011 Bais Test Score: 0.0095
testEmpty Score: 0.006999999999999999 Bais Test Score: 0.006000000000000001
